"","Location","dt","Avg.Tem","Avg.Vol"
"127","Bulgaria",1763-07-01,22.86,2.764
"128","Bulgaria",1763-08-01,21.276,3.238
"129","Bulgaria",1763-09-01,15.651,3.024
"130","Bulgaria",1763-10-01,8.282,5.083
"131","Bulgaria",1763-11-01,4.545,3.349
"132","Bulgaria",1763-12-01,2.592,2.701
"133","Bulgaria",1764-01-01,0.078,4.521
"134","Bulgaria",1764-02-01,4.203,3.198
"135","Bulgaria",1764-03-01,4.568,3.422
"136","Bulgaria",1764-04-01,8.857,4.076
"137","Bulgaria",1764-05-01,15.618,5.987
"138","Bulgaria",1764-06-01,18.461,3.158
"139","Bulgaria",1764-07-01,20.453,4.504
"140","Bulgaria",1764-08-01,19.461,2.479
"141","Bulgaria",1764-09-01,15.967,4.479
"142","Bulgaria",1764-10-01,11.464,3.113
"143","Bulgaria",1764-11-01,6.131,3.415
"144","Bulgaria",1764-12-01,3.943,3.756
"145","Bulgaria",1765-01-01,2.467,7.91
"146","Bulgaria",1765-02-01,0.628,3.881
"147","Bulgaria",1765-03-01,6.373,3.14
"148","Bulgaria",1765-04-01,10.688,2.51
"149","Bulgaria",1765-05-01,14.253,2.848
"150","Bulgaria",1765-06-01,17.944,3.214
"151","Bulgaria",1765-07-01,19.662,3.781
"152","Bulgaria",1765-08-01,20.519,2.919
"153","Bulgaria",1765-09-01,16.514,2.516
"154","Bulgaria",1765-10-01,11.115,2.319
"155","Bulgaria",1765-11-01,6.676,3.527
"156","Bulgaria",1765-12-01,1.038,2.808
"157","Bulgaria",1766-01-01,-3.918,5.744
"158","Bulgaria",1766-02-01,0.875,3.95
"159","Bulgaria",1766-03-01,5.453,2.971
"160","Bulgaria",1766-04-01,10.285,3.304
"161","Bulgaria",1766-05-01,15.835,3.038
"162","Bulgaria",1766-06-01,19.67,5.623
"163","Bulgaria",1766-07-01,20.037,3.743
"164","Bulgaria",1766-08-01,20.747,3.237
"165","Bulgaria",1766-09-01,17.466,3.363
"166","Bulgaria",1766-10-01,10.731,2.674
"167","Bulgaria",1766-11-01,8.163,4.457
"168","Bulgaria",1766-12-01,0.815,3.546
"169","Bulgaria",1767-01-01,-5.458,5.535
"170","Bulgaria",1767-02-01,1.325,6.328
"171","Bulgaria",1767-03-01,5.832,6.49
"172","Bulgaria",1767-04-01,7.724,5.116
"173","Bulgaria",1767-05-01,14.034,2.822
"174","Bulgaria",1767-06-01,19.386,3.263
"175","Bulgaria",1767-07-01,21.219,3.636
"176","Bulgaria",1767-08-01,21.178,2.614
"177","Bulgaria",1767-09-01,16.74,3.668
"178","Bulgaria",1767-10-01,11.709,2.972
"179","Bulgaria",1767-11-01,8.401,6.339
"180","Bulgaria",1767-12-01,-0.483,4.508
"181","Bulgaria",1768-01-01,-5.231,9.225
"182","Bulgaria",1768-02-01,-2.271,6.291
"183","Bulgaria",1768-03-01,2.231,4.837
"184","Bulgaria",1768-04-01,9.237,3.593
